Name,Price,Category,Link,Image,Description
Liquid L-Carnitine Capsules,£32.99,L Carnitine,https://www.myprotein.com/sports-nutrition/liquid-l-carnitine-capsules/11162594.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/11162594-1144860398850930.jpg,"Nutritional information may vary depending on flavour. L-carnitine is created in the body from the amino acid lysine and methionine, and our capsules are perfect for boosting your daily intake — through a unique liquid delivery system. What is l-carnitine? L-carnitine is an amino acid which is naturally produced in the body. It can also be found in food sources — red meat has the highest levels, but chicken, milk and dairy products also contain l-carnitine."
L-Glutamine Powder,£21.99,Glutamine Supplements,https://www.myprotein.com/sports-nutrition/l-glutamine-powder/10636931.html,https://static.thcdn.com/images/small/webp/productimg/1600/1600/10636931-1774620652768614.jpg,"Nutritional information may vary depending on flavour. Arguably the most popular of the 20 amino acids and naturally occurring in protein, which helps to build and repair new muscle1 — it’s important for all fitness goals."
Flavdrops™,£5.99,Flavouring Sweeteners,https://www.myprotein.com/sports-nutrition/flavdrops/10530471.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/10530473-1974851088629264.jpg,"Nutritional information may vary depending on flavour. What are FlavDrops™? Cutting fat and sugar from your diet doesn’t have to mean your meals are bland and boring. Our unique FlavDrops™ let you flavour food and drinks without taking on extra calories. Get yours in over 15 flavours, with delicious favourites including Toffee, White Chocolate, and Vanilla."
All-Natural Peanut Butter,£7.99,Nut Butters,https://www.myprotein.com/sports-nutrition/all-natural-peanut-butter/10530743.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/10530744-3624858591573104.jpg,"Created with a blend of roasted brown peanuts, our Crunchy Peanut Butter is all-natural and a great source of protein — ideal for supporting your training and curbing your cravings. Plus, it’s free from added salt, sugar, palm oil, and preservatives, while being packed with fibre and the essential nutrients vitamin E and magnesium, this super-nutritious snack is the sweet and simple way to keep your training on track."
Creatine Monohydrate Powder,£15.99,Creatine Monohydrate,https://www.myprotein.com/sports-nutrition/creatine-monohydrate-powder/10530050.html,https://static.thcdn.com/images/small/webp/productimg/1600/1600/10530050-9574620647469231.jpg,"Our convenient creatine monohydrate powder is great for all your fitness goals. What is Creatine? A popular ingredient in many all-in-one sports supplements, creatine increases your body’s ability to produce energy quickly. Creatine already exists in small amounts in our bodies naturally, but lots of people take it as a supplement to boost their performance in the gym.1 What is Creatine Monohydrate? One of the most highly researched forms of creatine in the world — our hard-hitting creatine monohydrate powder is scientifically proven to increase physical performance, by improving overall power."
Creatine Monohydrate Tablets,£18.49,Creatine Monohydrate,https://www.myprotein.com/sports-nutrition/creatine-monohydrate-powder/10530050.html,https://static.thcdn.com/images/small/webp/productimg/1600/1600/10530050-9574620647469231.jpg,"Our convenient creatine monohydrate powder is great for all your fitness goals. What is Creatine? A popular ingredient in many all-in-one sports supplements, creatine increases your body’s ability to produce energy quickly. Creatine already exists in small amounts in our bodies naturally, but lots of people take it as a supplement to boost their performance in the gym.1 What is Creatine Monohydrate? One of the most highly researched forms of creatine in the world — our hard-hitting creatine monohydrate powder is scientifically proven to increase physical performance, by improving overall power."
Creapure® Micronised Creatine Capsules,£20.99,Creatine Monohydrate,https://www.myprotein.com/sports-nutrition/creatine-monohydrate-tablets/10575029.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/10575029-1274860399442497.jpg,"Our creatine monohydrate tablets are a super-convenient way to get the scientifically proven benefits of creatine, helping you to improve your performance workout after workout.1"
Creatine Monohydrate Powder,£15.99,Creatine,https://www.myprotein.com/sports-nutrition/creatine-monohydrate-powder/10530050.html,https://static.thcdn.com/images/small/webp/productimg/1600/1600/10530050-9574620647469231.jpg,"Our convenient creatine monohydrate powder is great for all your fitness goals. What is Creatine? A popular ingredient in many all-in-one sports supplements, creatine increases your body’s ability to produce energy quickly. Creatine already exists in small amounts in our bodies naturally, but lots of people take it as a supplement to boost their performance in the gym.1 What is Creatine Monohydrate? One of the most highly researched forms of creatine in the world — our hard-hitting creatine monohydrate powder is scientifically proven to increase physical performance, by improving overall power."
Creatine Monohydrate Tablets,£18.49,Creatine,https://www.myprotein.com/sports-nutrition/creatine-monohydrate-powder/10530050.html,https://static.thcdn.com/images/small/webp/productimg/1600/1600/10530050-9574620647469231.jpg,"Our convenient creatine monohydrate powder is great for all your fitness goals. What is Creatine? A popular ingredient in many all-in-one sports supplements, creatine increases your body’s ability to produce energy quickly. Creatine already exists in small amounts in our bodies naturally, but lots of people take it as a supplement to boost their performance in the gym.1 What is Creatine Monohydrate? One of the most highly researched forms of creatine in the world — our hard-hitting creatine monohydrate powder is scientifically proven to increase physical performance, by improving overall power."
100% Instant Oats,£3.99,Energy Supplements,https://www.myprotein.com/sports-nutrition/100-instant-oats/10529296.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/10529296-1104924200043050.jpg,"Nutritional information may vary depending on flavour. What is 100% Instant Oats Powder? Our 100% Instant Oats Powder are the perfect addition to breakfast time — ideal for making a quick and easy shake to fuel you throughout the day. These instant oats are packed with carbohydrates, to power your training and support recovery,1 and are a source of fibre and delivers 11g of protein — ideal for supporting your muscles.2 ​How is 100% Instant Oats Powder made? Our 100% Instant Oats are made by simply milling oats into an ultra-fine powder, to create the perfect consistency for your breakfast shake. Want more information on protein powder, its benefits, and guidance on which one's best for you? Check out our Protein Guide."
